fz,s0,s1,s2,s3,time
0.0055999755859375,0.10001592394596288,0.03808177410466228,-0.5222400890253166,-0.31510638105836464,0.000100388
0.0058727264404296875,-0.08691271002437317,-0.1295032795175694,-0.6563581114040821,-0.33045931460180283,0.009569285
0.0059719085693359375,-0.14797222657240774,-0.09638787322421827,-0.6275624841096762,-0.3360677803562139,0.018965276
0.0060253143310546875,-0.12726817578673952,-0.06784460695822828,-0.5488365612800945,-0.3050322463817895,0.029383975
0.0060577392578125,-0.1609283588485399,-0.05959109028747114,-0.44359187549450246,-0.25563896469966074,0.039867341
0.008144378662109375,-0.150707443801515,-0.04499418597259938,-0.36368410784579,-0.20781011969756752,0.049463848
0.011623382568359375,-0.14778770016858875,-0.042803456527541466,-0.2984714811716682,-0.18601360003893816,0.059874696
0.014247894287109375,-0.1280664864657337,-0.03298288033381479,-0.22907505565622388,-0.15694066121271555,0.069349463
0.016271591186523438,-0.09572531847485136,-0.03340743612430805,-0.19536726129886703,-0.14689620867611253,0.079766941
0.017850875854492188,-0.06623465677725437,-0.03768031652130327,-0.17553552263420955,-0.12685967498760525,0.089140506
0.01909637451171875,-0.03880893608259416,-0.03714078989646986,-0.15346714625568236,-0.09899029765462518,0.099521929
0.018281936645507812,-0.012915168177032844,-0.04059738239860161,-0.14238869699988754,-0.08291684891928139,0.109903259
0.015840530395507812,0.00352160805186748,-0.04721541857633305,-0.13996306723606566,-0.07612236002250553,0.119416285
0.013896942138671875,0.012478586590586671,-0.06407137124847119,-0.1316628885253401,-0.07667901156643817,0.129861966
0.0123443603515625,0.023760129393866763,-0.06595674977970017,-0.11868175388306446,-0.07116143457562253,0.139269697
0.011104583740234375,0.03277070720643709,-0.06361123853968775,-0.10831371062609801,-0.07271059814137414,0.149674434
0.010114669799804688,0.039971676655590316,-0.05788777730483803,-0.10002789763009377,-0.07990104497472747,0.15898413
0.0072917938232421875,0.04572861959483691,-0.04946456289360283,-0.09340365724690007,-0.08564957542186613,0.169431144
0.0030059814453125,0.050332212853957746,-0.04657538560877304,-0.0881065214759334,-0.09024644155300038,0.179048817
0.00152587890625,0.049889759335955096,-0.04811057995740072,-0.09021271199447081,-0.09392293224129365,0.18987766
0.0003414154052734375,0.03304025860209301,-0.04933852122033665,-0.08555527914901681,-0.09686361178653159,0.199278428
-0.000606536865234375,0.03605667570266461,-0.04263025043666378,-0.08182974880303734,-0.09921589280637369,0.209711609
-0.0033111572265625,0.038469636978465546,-0.03341892228541124,-0.07884953746059137,-0.09515122220196813,0.219242617
-0.0054759979248046875,0.04039991773376607,-0.026050196711819625,-0.07012424234709498,-0.0918996344027716,0.229673446
-0.007205963134765625,0.046067369038450906,-0.020155388762714017,-0.06948533606421926,-0.09524453810744075,0.23901916
-0.0085906982421875,0.05060124516608424,-0.015439630726042552,-0.06897422061072651,-0.09792041095407929,0.249417119
-0.009698867797851562,0.05422830259191242,-0.011667069517099084,-0.06856533314913146,-0.0941150935358216,0.259989058
-0.010585784912109375,0.05712992627295414,-0.008649043702524613,-0.06823822568923853,-0.09107086295482512,0.269647897
-0.011293411254882812,0.05945121382095007,-0.006234634904914105,-0.061635577493289254,-0.07674359867117041,0.279132164
-0.011861801147460938,0.057185079136489486,-0.004303113936052618,-0.043671572025840065,-0.06528182325953263,0.289703473
-0.0123138427734375,0.047125867046184274,-0.0027579002684050952,-0.041982285009450615,-0.06800427697981057,0.2991975
-0.01078033447265625,0.03495535686883185,-0.0015217309252960076,-0.04063085713568412,-0.07612816044148071,0.310921275
-0.0076541900634765625,0.025218956746916085,-0.0005327962654029884,-0.026867843067948483,-0.07073542106118036,0.319368223
-0.005153656005859375,0.01742984075560501,0.00025835104543430387,-0.022198371975002962,-0.0545293947347769,0.329837422
-0.00310516357421875,0.011198550064937111,0.0008912686805628322,-0.018462796360994186,-0.05345641277651302,0.339372615
-0.0014171600341796875,0.002090372359936959,0.0013976026793324507,-0.015474336515085686,-0.040706194182036776,0.349793759
-6.4849853515625e-05,-0.0010730229044851039,0.0018026698223775435,-0.00040170543063008273,-0.030506020716076214,0.35918912
0.0029888153076171875,-0.003603738892203676,0.0021267235081431054,0.011656398370456237,-0.022345882665032082,0.369662523
0.0074062347412109375,-0.0015051660281343224,0.0023859664420759446,0.021302880865287945,-0.01581777259371468,0.379234363
0.0109405517578125,0.00017369220230385615,0.006438167653656843,0.029020066581577665,-0.010595284725859758,0.389686248
0.013767242431640625,0.0015167787555184285,0.009679928547751052,0.035193815011468906,-0.006417294528437927,0.399122256
0.01602935791015625,-0.001531897376818919,0.008428530438882932,0.04013281368210068,-0.0030749024201047145,0.409522327
0.017839431762695312,0.00015230707632043125,0.01127221872541155,0.044084012581074694,-0.00040098875882957585,0.419000354
0.019285202026367188,0.001499670630655204,0.01354716934081834,0.04724497168104281,0.0017381421571825966,0.429496145
0.020444869995117188,-0.001545583841682,0.019211936567542016,0.04977373895118977,0.0034494468833369844,0.439924826
0.02136993408203125,-0.003981787413474531,0.023743750337639438,0.051796752762265294,0.004818490660859833,0.44933652
0.022111892700195312,-0.001807604966144526,0.02736920134793852,0.05341516380854559,0.005913725681131825,0.459754128
0.022705078125,-0.00831454960842093,0.026424755423310787,0.05470989264424951,0.006789913696460057,0.469232303
0.0231781005859375,-0.013520105318845402,0.025669198684112018,0.043063814004097055,0.0015449488446293894,0.47982437
0.023557662963867188,-0.00943825929228951,0.028909560020477423,0.021065089390945094,-0.008596938297249303,0.489249028
0.023860931396484375,-0.006172782471922077,0.03150184908887754,0.0034661097051225183,-0.010764532747361845,0.49967195
