fz,s0,s1,s2,s3,time
-0.0030422210693359375,0.1555617807912617,0.037023548796954166,0.06934752002361462,0.026957953672428096,9.1555e-05
-0.0031909942626953125,-0.04854354800933007,-0.13035101959555495,0.0416718613331116,-0.02993552049751447,0.00953144
-0.0032444000244140625,0.013991498585350854,-0.11076015148658563,0.05379101570552868,-0.009053668737796311,0.018958028
-0.00327301025390625,0.02358122693686602,-0.10037878677697093,0.06928123624819131,0.002011798995650978,0.029373419
-0.003292083740234375,0.008894721120440994,-0.09386025262923187,0.0710331961416398,0.008959886390579774,0.039822792
-0.003215789794921875,0.017843267749467397,-0.08936588918602219,0.07958656318401763,0.02063437229224828,0.049415619
-0.0032444000244140625,0.03341356607164162,-0.08608991031656482,0.09278951325938191,0.03567454474943314,0.059856455
-0.003265380859375,0.03203811616235063,-0.08361883768391289,0.0960119024575019,0.040705980599571534,0.069291969
-0.0032825469970703125,0.03525765012927795,-0.08171449345441067,0.09190320793642233,0.03840558362535948,0.07967812
-0.0032958984375,0.02933180171161628,-0.07629173442236592,0.09519461149590555,0.03660857080751945,0.089106912
-0.0033054351806640625,0.03302862927138811,-0.06811873557497329,0.09134466660503146,0.03519264526796747,0.099650043
-0.0032367706298828125,0.027639115610215193,-0.06164352257005422,0.08829447490781267,0.0340708514639014,0.109088724
-0.00325775146484375,0.015066133371396812,-0.05649541288900586,0.08586942396454536,0.033178970758440125,0.119533374
-0.0032749176025390625,0.01331629848202353,-0.05239324593947191,0.08393707122795765,0.032468293678969355,0.129001166
-0.0032901763916015625,0.0036636629731919253,-0.04911983791774739,0.08239511083810828,0.03190119436745837,0.139494519
-0.0033016204833984375,-0.004045905200735002,-0.0465053641523807,0.07481076096259164,0.03144825166601316,0.149063569
-0.0033092498779296875,-0.010207148801460739,-0.04441595922168454,0.06240069917507451,0.03108627415211646,0.159526052
-0.0051136016845703125,-0.015132864442193432,-0.042745547335066615,0.05247925483516292,0.030796884798708072,0.16899864
-0.008350372314453125,-0.01907175901860277,-0.041409786848577296,0.04454547908542408,0.030565471895952705,0.179412624
-0.009143829345703125,-0.022222015915196507,-0.04034146968418083,0.03820018822098669,0.03038039202678749,0.189098858
-0.009778976440429688,-0.024741781856004088,-0.04332652822144667,0.03312484093041902,0.030232353956878382,0.199601378
-0.010288238525390625,-0.026757369581845845,-0.04571430847166873,0.02906501635004759,0.03605816469362361,0.209044688
-0.010669708251953125,-0.02836972456071296,-0.04762439619720174,0.025817388726836,0.03477450296131352,0.219456728
-0.010976791381835938,-0.03377692918841673,-0.04531335172907446,0.023219405425429645,0.039691437479770136,0.229801676
-0.011220932006835938,-0.03810256630211464,-0.043464570258604444,0.02114107960588132,0.037681155687208846,0.239247023
-0.011417388916015625,-0.04568027418810895,-0.045824508826790705,0.019478450090041788,0.03607296037345397,0.24983469
-0.009754180908203125,-0.05174236783266571,-0.04771243705138508,0.018148362420671492,0.034786419543761854,0.259277741
-0.008424758911132812,-0.056592005544638446,-0.04538387653731241,0.017084300448065817,0.03375719477564213,0.269704947
-0.007335662841796875,-0.060471696666087725,-0.04352103727205885,0.016233055049348813,0.03293381900367758,0.27917148
-0.0064640045166015625,-0.06357543981063153,-0.04586964380782399,0.015552060870196489,0.03227512045588183,0.289613667
-0.005767822265625,-0.06605842933295315,-0.05158739396715383,0.015007266622460956,0.03174816267736184,0.299112385
-0.0052089691162109375,-0.06804481839422552,-0.056161588207420676,0.014571431785210606,0.03132659699711774,0.309594294
