fx,fy,fz,mx,my,mz,s0,s1,s2,s3,time,fx_pred,fy_pred,fz_pred
0.12263737015442544,0.07058362603109813,-0.02030220546615169,0.0017344624091517914,-0.0026524412415320636,0.000704721402669306,0.020960496345348127,-0.0027528970909359053,0.214516870090794,0.11792404912650548,0.00011261,-0.14052078127861023,-0.17863726615905762,0.22162185609340668
0.09815406825286033,0.07333974968516266,-0.011725668712417203,0.0018975591279960006,-0.002042052590667684,0.0004747300325586845,-0.030500348174269238,-0.08991838498623034,0.0999853859913817,0.02161645961513713,0.009743105,-0.14036163687705994,-0.1787782609462738,0.22177240252494812
0.07367076635129521,0.07609587333922718,-0.003149131958682716,0.0020606558468402097,-0.0014316639398033043,0.00024473866244806297,-0.045155224965853426,-0.11607537414243513,-0.014546098108030592,-0.07469112989623121,0.019354563,-0.14023785293102264,-0.17870065569877625,0.22190611064434052
0.04506295288421791,0.07784470223056061,0.006477114321375765,0.002206735975604478,-0.0007255104884073896,-1.6197264038050885e-05,-0.03236810510355909,-0.09066237169712146,-0.02677000127764977,-0.16983636228032345,0.029851012,-0.1402440071105957,-0.17846186459064484,0.221885547041893
0.016455139417140607,0.07959353112189405,0.016103360601434247,0.002352816104368746,-1.9357037011474842e-05,-0.00027713319052416474,-0.019580985241264764,-0.06524936925180783,-0.014546098108030592,-0.18970712039425947,0.03931412,-0.14027005434036255,-0.17834699153900146,0.22185489535331726
0.001295620017867094,0.08052025016439224,0.02120438894086618,0.0024302251852269825,0.0003548395774071733,-0.0004154053183149098,-0.014221004983420866,-0.049292360816999066,-0.01342707903677694,-0.19411658244119329,0.049788421,-0.14027687907218933,-0.17829394340515137,0.22184589505195618
-0.01386389938140642,0.08137197157630638,0.026305417280298116,0.00241458969604844,0.0007290361918258215,-0.0003081723371409495,-0.008861024725576967,-0.03333535238219032,-0.014546098108030592,-0.1985260444881271,0.059196233,-0.14028136432170868,-0.1782407909631729,0.2218399941921234
-0.02338267149195916,0.08048275134910021,0.026462478159439584,0.002383702900208593,0.0009639969582840302,-0.0002926527638325571,-0.0027068522290065364,-0.026079169194101925,-0.02677000127764977,-0.2305409046256107,0.069699942,-0.14027684926986694,-0.17815715074539185,0.22184541821479797
-0.032901443602511904,0.07959353112189405,0.026305417280298116,0.002352816104368746,0.001198957724742239,-0.00027713319052416474,0.003447320267563894,-0.018822986006013537,-0.03899390444726895,-0.2625557647630943,0.079169364,-0.1402723640203476,-0.1780734807252884,0.22185084223747253
-0.039464394785757584,0.07784470223056061,0.025400295763704506,0.002206735975604478,0.00136095719508713,-0.00026604989078368724,0.0056007668671338275,-0.017087358816591555,-0.03972515204609088,-0.25311000068663475,0.089684924,-0.1402730643749237,-0.1780795007944107,0.22185470163822174
-0.05081113563560358,0.07784470223056061,0.025400295763704506,0.002206735975604478,0.0016410394258537311,-0.00027592629027406446,0.0056007668671338275,-0.017087358816591555,-0.03972515204609088,-0.25311000068663475,0.100182169,-0.1402730643749237,-0.1780795007944107,0.22185470163822174
-0.059203340434467844,0.06624693002443749,0.025400295763704506,0.001997013111124678,0.0018481920763126491,-0.00027592629027406446,0.009378559401198713,-0.01404254709968419,-0.03972515204609088,-0.25311000068663475,0.10969911,-0.14027664065361023,-0.17806346714496613,0.22185471653938293
-0.06559259836510734,0.028390440644320947,0.025400295763704506,0.001017569550563491,0.0020059041134374775,-0.0002744116488665599,0.012254715487363725,-0.01172443310273484,-0.03972515204609088,-0.22109514054915116,0.119254976,-0.1402774304151535,-0.17810285091400146,0.22186464071273804
-0.0705457662921849,-0.015265961871076428,0.023665423816460418,-9.3243494267428e-05,0.002128167796087488,-0.00026718875883269266,0.016660373219815866,-0.006612193667893133,-0.048240876334218356,-0.20183154050789964,0.129840517,-0.14027179777622223,-0.17811110615730286,0.22188125550746918
-0.07442973788183638,-0.04949864478684418,0.02218188571409918,-0.0009642751998456458,0.002224039504224583,-0.00026718875883269266,0.0244559051971527,0.0016591941334027393,-0.058857030254651485,-0.209796420396306,0.139373087,-0.1402689665555954,-0.17806001007556915,0.22189213335514069
-0.07716908111358656,-0.07653711610381819,0.021010122387016494,-0.0016522541656018722,0.002299763175575509,-0.00026718875883269266,0.034919444375331114,0.004940352842567647,-0.06469029558932457,-0.209796420396306,0.149880703,-0.14027288556098938,-0.17802530527114868,0.22190254926681519
-0.07868665703111555,-0.09799208140752569,0.020080330860269058,-0.0021981639053553033,0.0023598497360344042,-0.00026718875883269266,0.04308757518055059,0.004940352842567647,-0.07033114751135411,-0.2015830283033003,0.159405643,-0.1402742564678192,-0.17801645398139954,0.221916064620018
-0.0793780590863502,-0.11506674839567665,0.019340367851107487,-0.0026326193742843553,0.0024050045452192192,-0.0002744116488665599,0.04557966180449746,0.006901207278523503,-0.0755109504323956,-0.19274981652405437,0.169988517,-0.14027084410190582,-0.17801962792873383,0.22192594408988953
-0.0793780590863502,-0.12868098843515874,0.01875036899291338,-0.0029790261911534985,0.0024050045452192192,-0.00027671130143240574,0.04759169913505021,0.006901207278523503,-0.07973123926186719,-0.18732242217072848,0.17959242,-0.14026805758476257,-0.178022563457489,0.22193409502506256
-0.0793780590863502,-0.13954916295524988,0.018279376081158816,-0.00314286690670782,0.0024050045452192192,-0.00028606308257420054,0.053191292633596,0.006901207278523503,-0.08836168773469436,-0.17923992620969892,0.190127998,-0.14026404917240143,-0.1780199408531189,0.22195065021514893
